menuname,category,country,ingredient,taste,stock,description,
간장 치킨,패스트푸드,한국,고기,1,FALSE,,
양념 치킨,패스트푸드,한국,고기,3,FALSE,,
그라탕,패스트푸드,이탈리아,야채,4,FALSE,,
피자,패스트푸드,이탈리아,야채,4,FALSE,,
피시앤칩스,패스트푸드,영국,해물,4,FALSE,,
반미,패스트푸드,베트남,고기,3,FALSE,,
버거킹,패스트푸드,미국,고기,2,FALSE,,
서브웨이,패스트푸드,미국,고기,4,FALSE,,
수제버거,패스트푸드,미국,고기,2,FALSE,,
시카고피자,패스트푸드,미국,고기,4,FALSE,,
치즈버거,패스트푸드,미국,고기,3,FALSE,,
핫도그,패스트푸드,미국,고기,2,FALSE,,
햄버거,패스트푸드,미국,고기,2,FALSE,,
후라이드 치킨,패스트푸드,미국,고기,4,FALSE,,
갈비찜,밥,한국,고기,1,FALSE,,
갈치조림,밥,한국,해물,1,FALSE,,
감자탕,밥,한국,고기,3,TRUE,,
경양식 돈가스,밥,한국,고기,2,FALSE,,
고등어 구이,밥,한국,해물,3,FALSE,,
곱창,밥,한국,고기,5,FALSE,,
김밥,밥,한국,야채,4,FALSE,,
김치볶음밥,밥,한국,고기,3,FALSE,,
김치찌개,밥,한국,야채,5,TRUE,,
낙지볶음,밥,한국,해물,6,FALSE,,
단팥죽,밥,한국,야채,1,TRUE,,
닭발,밥,한국,고기,7,FALSE,,
닭볶음탕,밥,한국,고기,5,TRUE,,
닭불고기덮밥,밥,한국,고기,5,FALSE,,
동태찌개,밥,한국,해물,4,TRUE,,
돼지갈비,밥,한국,고기,1,FALSE,,
돼지고기 김치찜,밥,한국,고기,5,TRUE,,
된장찌개,밥,한국,야채,4,TRUE,,
등갈비,밥,한국,고기,1,FALSE,,
떡갈비,밥,한국,고기,1,FALSE,,
막창,밥,한국,고기,4,FALSE,,
매운탕,밥,한국,해물,6,TRUE,,
미역국,밥,한국,야채,4,TRUE,,
밥버거,밥,한국,고기,4,FALSE,,
보쌈,밥,한국,고기,3,FALSE,,
부대찌개,밥,한국,고기,2,TRUE,,
불고기,밥,한국,고기,1,FALSE,,
비빔밥,밥,한국,고기,5,FALSE,,
비지찌개,밥,한국,고기,5,TRUE,,
뼈해장국,밥,한국,고기,4,TRUE,,
삼겹살,밥,한국,고기,4,FALSE,,
삼계탕,밥,한국,고기,2,TRUE,,
선짓국,밥,한국,고기,6,TRUE,,
순대국,밥,한국,고기,3,TRUE,,
쌈밥,밥,한국,고기,3,FALSE,,
아귀찜,밥,한국,해물,6,FALSE,,
야채볶음밥,밥,한국,고기,3,FALSE,,
육회,밥,한국,고기,2,FALSE,,
족발,밥,한국,고기,1,FALSE,,
쭈꾸미볶음,밥,한국,해물,7,FALSE,,
찜닭,밥,한국,고기,2,FALSE,,
청국장,밥,한국,야채,4,TRUE,,
추어탕,밥,한국,해물,5,TRUE,,
치킨마요 덮밥,밥,한국,고기,2,FALSE,,
콩나물국밥,밥,한국,야채,3,FALSE,,
튀김,밥,한국,해물,2,FALSE,,
해물탕,밥,한국,해물,4,TRUE,,
코코뱅,밥,프랑스,고기,3,FALSE,,
케밥,밥,터키,고기,5,FALSE,,
깐풍기,밥,중국,고기,4,FALSE,,
마파두부,밥,중국,야채,5,FALSE,,
짜장밥,밥,중국,야채,1,FALSE,,
탕수육,밥,중국,고기,1,FALSE,,
가츠동,밥,일본,고기,2,FALSE,,
규동,밥,일본,고기,1,FALSE,,
규카츠,밥,일본,고기,3,FALSE,,
김치치즈나베,밥,일본,고기,5,TRUE,,
덴푸라,밥,일본,해물,2,FALSE,,
돈카츠,밥,일본,고기,2,FALSE,,
스시,밥,일본,해물,4,FALSE,,
오니기리,밥,일본,해물,4,FALSE,,
오므라이스,밥,일본,야채,2,FALSE,,
텐동,밥,일본,고기,2,FALSE,,
치킨 티카 마살라,밥,인도,고기,5,TRUE,,
카레라이스,밥,인도,고기,5,FALSE,,
탄두리 치킨,밥,인도,고기,5,FALSE,,
리조토,밥,이탈리아,고기,3,FALSE,,
티본 스테이크,밥,이탈리아,고기,4,FALSE,,
LA갈비,밥,미국,고기,2,FALSE,,
샐러드,밥,독일,야채,4,FALSE,,
감자전,면,한국,야채,3,FALSE,,
고기국수,면,한국,고기,3,TRUE,,
라면,면,한국,야채,6,TRUE,,
라볶이,면,한국,야채,5,FALSE,,
물냉면,면,한국,야채,2,TRUE,,
비빔국수,면,한국,야채,6,FALSE,,
잔칫국수,면,한국,야채,2,TRUE,,
잡채,면,한국,야채,2,FALSE,,
쫄면,면,한국,야채,5,FALSE,,
칼국수,면,한국,야채,4,TRUE,,
팟타이,면,태국,야채,4,FALSE,,
짜장면,면,중국,야채,1,FALSE,,
짬뽕,면,중국,해물,6,TRUE,,
라멘,면,일본,야채,5,TRUE,,
우동,면,일본,야채,4,TRUE,,
까르보나라,면,이탈리아,야채,2,FALSE,,
봉골레 파스타,면,이탈리아,해물,2,FALSE,,
스파게티,면,이탈리아,야채,2,FALSE,,
알리올리오 ,면,이탈리아,야채,4,FALSE,,
쌀국수,면,베트남,야채,4,TRUE,,
샤브샤브,국,일본,고기,3,TRUE,,
김치전,간식,한국,야채,5,FALSE,,
떡볶이,간식,한국,야채,6,FALSE,,
파전,간식,한국,야채,4,FALSE,,
마카롱,간식,프랑스,야채,1,FALSE,,
와플,간식,프랑스,야채,1,FALSE,,
프렌치 토스트,간식,프랑스,야채,1,FALSE,,
샤오롱바오,간식,중국,고기,4,FALSE,,
타코야끼,간식,일본,해물,3,FALSE,,
라자냐,간식,이탈리아,고기,3,FALSE,,